dataset,accuracy,time_training_seconds,time_test_seconds
ACSF1,0.806667,5.436658,5.202016
Adiac,0.815772,1.701166,1.425524
ArrowHead,0.869714,0.288209,1.086603
BME,1.0,0.192204,0.375812
Beef,0.805556,0.478797,0.368553
BeetleFly,0.951667,0.4076,0.254689
BirdChicken,0.918333,0.357394,0.263781
CBF,0.991852,0.181645,2.482501
Car,0.927778,1.218791,1.082775
Chinatown,0.968222,0.095211,0.102028
ChlorineConcentration,0.763385,2.530742,18.044502
CinCECGTorso,0.99413,2.45786,83.589836
Coffee,0.997619,0.320494,0.219928
Computers,0.818533,5.750593,5.443839
CricketX,0.806581,3.96892,3.681521
CricketY,0.828376,3.989241,3.665166
CricketZ,0.822564,4.011414,3.6938
Crop,0.734821,37.802029,11.877456
DiatomSizeReduction,0.940087,0.265073,2.789975
DistalPhalanxOutlineAgeGroup,0.806235,0.784654,0.191935
DistalPhalanxOutlineCorrect,0.831039,1.107672,0.395398
DistalPhalanxTW,0.700959,0.761655,0.193973
ECG200,0.894667,0.342074,0.191521
ECG5000,0.947133,2.210698,16.464322
ECGFiveDays,0.998568,0.173936,3.150135
EOGHorizontalSignal,0.82698,17.729957,17.390547
EOGVerticalSignal,0.763996,17.825895,17.448452
Earthquakes,0.743165,5.198504,2.114823
ElectricDevices,0.881671,83.916718,12.688554
EthanolLevel,0.664333,31.364804,30.745191
FaceAll,0.9843,2.328607,6.067405
FaceFour,0.888258,0.340802,0.888588
FacesUCR,0.961805,0.81092,7.344869
FiftyWords,0.827179,3.514471,3.193558
Fish,0.986286,2.294131,2.068177
FordA,0.958535,62.551294,17.290456
FordB,0.932181,64.329031,10.742026
FreezerRegularTrain,0.99255,1.62204,26.416433
FreezerSmallTrain,0.95193,0.405073,26.379521
GunPoint,0.998444,0.281389,0.506171
GunPointAgeSpan,0.996308,0.534193,1.099429
GunPointMaleVersusFemale,0.999262,0.544966,1.105925
GunPointOldVersusYoung,1.0,0.539326,1.085994
Ham,0.847619,1.471088,1.27824
HandOutlines,0.945495,102.653263,38.0265
Haptics,0.51645,5.971003,11.445753
Herring,0.618229,0.934569,0.839034
HouseTwenty,0.968908,3.273954,9.211656
InlineSkate,0.495879,7.231161,39.158218
InsectEPGRegularTrain,1.0,1.546995,5.530671
InsectEPGSmallTrain,0.99759,0.515943,5.500016
InsectWingbeatSound,0.659966,1.515381,11.307451
ItalyPowerDemand,0.961581,0.121948,0.310218
LargeKitchenAppliances,0.935556,7.891357,7.452339
Lightning2,0.737705,1.565924,1.429945
Lightning7,0.783105,0.749377,0.669325
Mallat,0.955721,1.734616,66.686072
Meat,0.983889,0.745838,0.648985
MedicalImages,0.768728,0.869078,1.375713
MiddlePhalanxOutlineAgeGroup,0.663203,0.742812,0.212753
MiddlePhalanxOutlineCorrect,0.83425,1.109178,0.410966
MiddlePhalanxTW,0.557792,0.789808,0.210328
MixedShapesRegularTrain,0.981801,15.661856,74.30566
MixedShapesSmallTrain,0.958763,3.183028,74.366033
MoteStrain,0.935277,0.105489,2.057682
NonInvasiveFetalECGThorax1,0.943834,45.788183,47.534779
NonInvasiveFetalECGThorax2,0.957557,45.511901,47.184341
OSULeaf,0.978788,2.582219,2.863373
OliveOil,0.912222,0.607003,0.483123
PhalangesOutlinesCorrect,0.833761,4.52258,1.114377
Phoneme,0.329712,7.7369,65.863695
PigAirwayPressure,0.740385,7.894156,15.515381
PigArtPressure,0.951603,7.170886,13.977778
PigCVP,0.911058,7.903725,15.560547
Plane,1.0,0.443026,0.327287
PowerCons,0.962037,0.717973,0.609505
ProximalPhalanxOutlineAgeGroup,0.845366,0.767387,0.274855
ProximalPhalanxOutlineCorrect,0.897022,1.07974,0.406553
ProximalPhalanxTW,0.805854,0.794739,0.275156
RefrigerationDevices,0.756089,9.213247,8.809717
Rock,0.892,2.302613,5.575193
ScreenType,0.624089,8.359051,7.882974
SemgHandGenderCh2,0.824,19.749576,39.177184
SemgHandMovementCh2,0.492741,29.746378,29.296989
SemgHandSubjectCh2,0.780593,29.493461,29.139049
ShapeletSim,0.983704,0.429096,2.978339
ShapesAll,0.938667,8.474025,7.980627
SmallKitchenAppliances,0.833156,7.898813,7.467137
SmoothSubspace,0.969333,0.119614,0.017109
SonyAIBORobotSurface1,0.954798,0.125413,0.856945
SonyAIBORobotSurface2,0.950892,0.120021,1.300205
StarLightCurves,0.980379,27.008046,215.197957
Strawberry,0.979369,3.716621,1.967654
SwedishLeaf,0.970613,1.439678,1.48204
Symbols,0.973032,0.416457,10.647018
SyntheticControl,0.969333,0.428276,0.285323
ToeSegmentation1,0.942982,0.40199,1.89893
ToeSegmentation2,0.951026,0.437025,1.340494
Trace,1.0,0.915312,0.779193
TwoLeadECG,0.999385,0.121622,1.774809
TwoPatterns,0.986783,3.310797,10.671864
UMD,0.987269,0.297491,0.532888
UWaveGestureLibraryAll,0.973748,27.415537,106.799178
UWaveGestureLibraryX,0.863521,8.131111,29.498164
UWaveGestureLibraryY,0.793123,8.238318,29.873534
UWaveGestureLibraryZ,0.797981,8.154958,29.5192
Wafer,0.999968,4.59687,23.544469
Wine,0.951235,0.433812,0.265543
WordSynonyms,0.749948,2.135281,4.506765
Worms,0.753247,5.902516,2.33554
WormsTwoClass,0.805195,5.848169,2.330371
Yoga,0.925633,3.624438,34.354188
